날짜,종목코드,공매도거래비중,공매도잔고비중,공매도잔고수량
2026-06-22,000100,35.83000183105469,2.2699999809265137,
2026-06-22,000150,8.869999885559082,0.2199999988079071,
2026-06-22,000270,12.079999923706056,0.0299999993294477,
2026-06-22,000660,1.0299999713897705,0.0,
2026-06-22,000720,16.540000915527344,1.5399999618530271,
2026-06-22,000810,19.280000686645508,0.4900000095367431,
2026-06-22,000990,7.820000171661377,3.109999895095825,
2026-06-22,001450,13.869999885559082,0.0900000035762786,
2026-06-22,001570,0.0,0.1199999973177909,
2026-06-22,002380,8.979999542236328,0.0700000002980232,
2026-06-22,002790,21.100000381469727,0.2899999916553497,
2026-06-22,003550,8.6899995803833,1.2200000286102295,
2026-06-22,003670,16.780000686645508,3.0199999809265137,
2026-06-22,004020,9.260000228881836,0.3499999940395355,
2026-06-22,004170,6.590000152587891,0.2199999988079071,
2026-06-22,004990,9.640000343322754,0.3799999952316284,
2026-06-22,005380,14.0,2.430000066757202,
2026-06-22,005387,4.53000020980835,0.0,
2026-06-22,005490,4.480000019073486,0.1299999952316284,
2026-06-22,005830,27.799999237060547,0.0099999997764825,
2026-06-22,005930,2.25,0.0,
2026-06-22,005935,0.6499999761581421,0.0,
2026-06-22,006280,27.559999465942383,1.0,
2026-06-22,006400,3.910000085830689,0.0399999991059303,
2026-06-22,006800,8.760000228881836,2.4600000381469727,
2026-06-22,007070,17.06999969482422,0.1500000059604644,
2026-06-22,008770,15.31999969482422,0.3400000035762787,
2026-06-22,008930,17.1200008392334,0.5,
2026-06-22,009150,3.930000066757202,0.2800000011920929,
2026-06-22,009830,13.34000015258789,0.8999999761581421,
2026-06-22,010130,6.53000020980835,0.4099999964237213,
2026-06-22,010140,12.350000381469728,0.9399999976158142,
2026-06-22,010950,23.420000076293945,0.449999988079071,
2026-06-22,011070,2.869999885559082,0.25,
2026-06-22,011170,25.229999542236328,0.1000000014901161,
2026-06-22,011200,16.829999923706055,1.0800000429153442,
2026-06-22,012330,10.829999923706056,0.4099999964237213,
2026-06-22,012450,12.699999809265137,0.0199999995529651,
2026-06-22,015760,9.470000267028809,0.2899999916553497,
2026-06-22,017670,5.510000228881836,0.0700000002980232,
2026-06-22,018260,3.2300000190734863,1.659999966621399,
2026-06-22,021240,11.869999885559082,0.0099999997764825,
2026-06-22,024110,8.850000381469727,0.1199999973177909,
2026-06-22,028260,10.260000228881836,0.270000010728836,
2026-06-22,029780,9.239999771118164,0.1199999973177909,
2026-06-22,030200,26.61000061035156,0.5099999904632568,
2026-06-22,032830,5.480000019073486,0.1199999973177909,
2026-06-22,033780,15.850000381469728,0.1500000059604644,
2026-06-22,034730,5.590000152587891,0.0,
2026-06-22,035420,3.390000104904175,0.6000000238418579,
2026-06-22,035720,15.609999656677246,0.8600000143051147,
2026-06-22,036570,15.529999732971191,0.3600000143051147,
2026-06-22,042660,8.890000343322754,0.8700000047683716,
2026-06-22,047050,20.40999984741211,0.6000000238418579,
2026-06-22,047810,21.059999465942383,3.0199999809265137,
2026-06-22,051900,23.059999465942383,0.8500000238418579,
2026-06-22,051910,3.7799999713897705,0.0,
2026-06-22,052690,13.43000030517578,0.5199999809265137,
2026-06-22,055550,5.019999980926514,0.0199999995529651,
2026-06-22,058470,11.329999923706056,1.940000057220459,
2026-06-22,064350,19.21999931335449,0.050000000745058,
2026-06-22,066570,1.5399999618530271,1.0099999904632568,
2026-06-22,068270,9.25,0.1199999973177909,
2026-06-22,069960,16.68000030517578,0.699999988079071,
2026-06-22,071050,8.529999732971191,0.2800000011920929,
2026-06-22,078930,8.100000381469727,0.0,
2026-06-22,086790,4.170000076293945,0.0399999991059303,
2026-06-22,088350,3.309999942779541,0.5299999713897705,
2026-06-22,090430,24.799999237060547,2.2799999713897705,
2026-06-22,093370,1.0399999618530271,0.5600000023841858,
2026-06-22,096770,5.960000038146973,0.1400000005960464,
2026-06-22,097950,22.43000030517578,0.3199999928474426,
2026-06-22,105560,8.09000015258789,0.0,
2026-06-22,111770,11.369999885559082,0.2000000029802322,
2026-06-22,120110,2.200000047683716,0.2300000041723251,
2026-06-22,128940,3.180000066757202,0.6700000166893005,
2026-06-22,138040,12.3100004196167,0.9800000190734864,
2026-06-22,139480,4.880000114440918,1.0800000429153442,
2026-06-22,161390,19.81999969482422,0.3300000131130218,
2026-06-22,185750,17.8799991607666,1.3899999856948853,
2026-06-22,207940,9.140000343322754,0.2800000011920929,
2026-06-22,214370,7.480000019073486,1.2999999523162842,
2026-06-22,241560,14.100000381469728,0.0199999995529651,
2026-06-22,251270,18.549999237060547,0.1599999964237213,
2026-06-22,259960,23.799999237060547,0.7099999785423279,
2026-06-22,267250,8.710000038146973,0.0,
2026-06-22,267260,8.510000228881836,0.6100000143051147,
2026-06-22,271560,15.5600004196167,0.1500000059604644,
2026-06-22,272210,9.5,0.8799999952316284,
2026-06-22,316140,6.650000095367432,0.1099999994039535,
2026-06-22,323410,24.559999465942383,2.430000066757202,
2026-06-22,326030,6.71999979019165,0.2599999904632568,
2026-06-22,329180,4.880000114440918,2.6600000858306885,
2026-06-22,347860,0.6200000047683716,1.9600000381469729,
2026-06-22,357780,4.260000228881836,2.140000104904175,
2026-06-22,373220,10.84000015258789,1.350000023841858,
2026-06-22,375500,10.920000076293944,2.539999961853028,
2026-06-22,402340,2.3299999237060547,0.0199999995529651,
2026-06-22,450080,11.449999809265137,1.7699999809265137,
2026-06-22,456040,4.739999771118164,0.1099999994039535,
2026-06-23,000100,28.65999984741211,2.3299999237060547,
2026-06-23,000150,4.25,0.2300000041723251,
2026-06-23,000270,8.65999984741211,0.0199999995529651,
2026-06-23,000660,3.700000047683716,0.0,
2026-06-23,000720,12.369999885559082,1.440000057220459,
2026-06-23,000810,5.989999771118164,0.4900000095367431,
2026-06-23,000990,8.930000305175781,3.2699999809265137,
2026-06-23,001450,8.600000381469727,0.0900000035762786,
2026-06-23,001570,0.0,0.1199999973177909,
2026-06-23,002380,7.579999923706055,0.050000000745058,
2026-06-23,002790,12.979999542236328,0.2899999916553497,
2026-06-23,003550,8.300000190734863,1.1699999570846558,
2026-06-23,003670,8.3100004196167,3.009999990463257,
2026-06-23,004020,5.269999980926514,0.3300000131130218,
2026-06-23,004170,21.65999984741211,0.4799999892711639,
2026-06-23,004990,7.639999866485596,0.3600000143051147,
2026-06-23,005380,11.010000228881836,2.5299999713897705,
2026-06-23,005387,3.1600000858306885,0.0,
2026-06-23,005490,3.849999904632568,0.0799999982118606,
2026-06-23,005830,22.979999542236328,0.0099999997764825,
2026-06-23,005930,2.109999895095825,0.0,
2026-06-23,005935,0.0799999982118606,0.0,
2026-06-23,006280,15.380000114440918,0.949999988079071,
2026-06-23,006400,3.470000028610229,0.0299999993294477,
2026-06-23,006800,9.43000030517578,2.319999933242798,
2026-06-23,007070,18.440000534057617,0.1400000005960464,
2026-06-23,008770,10.760000228881836,0.3400000035762787,
2026-06-23,008930,8.199999809265137,0.5099999904632568,
2026-06-23,009150,0.9700000286102296,0.2800000011920929,
2026-06-23,009830,6.670000076293945,0.9100000262260436,
2026-06-23,010130,10.020000457763672,0.4199999868869781,
2026-06-23,010140,4.869999885559082,0.9300000071525574,
2026-06-23,010950,8.470000267028809,0.449999988079071,
2026-06-23,011070,5.480000019073486,0.2599999904632568,
2026-06-23,011170,15.270000457763672,0.1199999973177909,
2026-06-23,011200,9.390000343322754,1.1100000143051147,
2026-06-23,012330,9.979999542236328,0.4199999868869781,
2026-06-23,012450,7.610000133514404,0.0199999995529651,
2026-06-23,015760,6.570000171661377,0.2899999916553497,
2026-06-23,017670,1.1699999570846558,0.0599999986588954,
2026-06-23,018260,3.200000047683716,1.5700000524520874,
2026-06-23,021240,13.520000457763672,0.0099999997764825,
2026-06-23,024110,23.479999542236328,0.1299999952316284,
2026-06-23,028260,8.649999618530273,0.2899999916553497,
2026-06-23,029780,14.649999618530272,0.1299999952316284,
2026-06-23,030200,5.269999980926514,0.4799999892711639,
2026-06-23,032830,8.649999618530273,0.0900000035762786,
2026-06-23,033780,7.730000019073486,0.1500000059604644,
2026-06-23,034730,5.599999904632568,0.050000000745058,
2026-06-23,035420,1.659999966621399,0.5299999713897705,
2026-06-23,035720,6.769999980926514,0.8799999952316284,
2026-06-23,036570,9.56999969482422,0.3199999928474426,
